Remove,Remove [1]
Send Order Email Copy Method,Skicka Beställing E-Post Kopiera Method
Order Comment Email Sender,Beställnings Kommentar E-Post Avsändare
Order Comment Email Template,Beställnings Kommentar E-Postmall
Order Comment Email Template for Guest,Beställnings Kommentar E-Postmall För Gäst
Send Order Comment Email Copy To,Skicka Beställnings Kommentar E-Post Kopia till
Send Order Comments Email Copy Method,Skicka Order Kommentarer E-post Kopiera Method
Invoice Email Sender,Faktura E-Post Avsändare
Invoice Email Template,Faktura E-Postmall
Invoice Email Template for Guest,Faktura E-Postmall för Guest
Send Invoice Email Copy To,Skicka Faktura E-Post Kopia till
Send Invoice Email Copy Method,Skicka Faktura E-Post Kopiera Metod
Invoice Comment Email Sender,Faktura Kommentar E-Post Avsändare
Invoice Comment Email Template,Faktura Kommentar E-Postmall
Invoice Comment Email Template for Guest,Faktura Kommentar E-Postmall för Guest
Send Invoice Comment Email Copy To,Skicka Faktura Kommentar E-Post Kopia till
Send Invoice Comments Email Copy Method,Skicka Faktura Kommentarer E-post Kopiera metod
Shipment,Leverans
Shipment Email Sender,Leverans E-Post Avsändare
Shipment Email Template,Leverans E-Postmall
Shipment Email Template for Guest,Leverans E-Postmall för Gäst
Send Shipment Email Copy To,Skicka Leverans E-Post Kopia Till
Send Shipment Email Copy Method,Skicka Leverans E-Post Kopia Metod
Shipment Comment Email Sender,Leverans Kommentar E-Post Avsändare
Shipment Comment Email Template,Leverans Kommentar E-Postmall
Shipment Comment Email Template for Guest,Leverans Kommentar E-Postmall för Gäst
Send Shipment Comment Email Copy To,Skicka Leverans Kommentar E-Post Kopia Till
Send Shipment Comments Email Copy Method,Skicka Leverans Kommentarer E-post Kopiera Metod
Credit Memo Email Sender,Kreditnota E-Post Avsändare
Credit Memo Email Template,Kreditnota E-Postmall
Credit Memo Email Template for Guest,Kreditnota E-Postmall för Gäst
Send Credit Memo Email Copy To,Skicka Kreditnota E-Post Kopia Till
Send Credit Memo Email Copy Method,Skicka Kreditnota E-Post Kopia Metod
Credit Memo Comment Email Sender,Kreditnota Kommentar E-Post Avsändare
Credit Memo Comment Email Template,Kreditnota Kommentar E-Postmall
Credit Memo Comment Email Template for Guest,Kreditnota Kommentar E-Postmall för Gäst
Send Credit Memo Comment Email Copy To,Skicka Kreditnota Kommentar E-Post Kopia Till
Send Credit Memo Comments Email Copy Method,Skicka Kreditnota Kommentar E-Post Kopia Metod
PDF Print-outs,PDF Utskrifter
Display Order ID in Header,Visa Beställnings ID i Rublik
Orders and Returns Search Form,Beställningar och Returer Sökformulär
PDF Credit Memos,PDF Kreditnota
PDF Invoices,PDF Fakturor
Invoice Date,Faktura Datum
ZIP/Post Code,Postnummer
Signed-up Point,Anmält sig Punkt
order-header,beställning-rublik
New Order RSS,Ny Beställning RSS
Print Invoices,Skriv Fakturor
Print Packing Slips,Skriv Ut Följesedlar
Print Credit Memos,Skriv Ut Kreditnota
Print All,Skriv Ut Alla
Print Shipping Labels,Skriv Ut Transportetiketter
Ship Date,Leverans Datum
Total Quantity,Totalt Antal
Default Status,Default Status
State Code and Title,Län och Titel
PDF Packing Slips,PDF Följesedel
"Status can't be unassigned, because it is used by existing order(s).","Status kan inte tilldelas , eftersom det används av befintliga beställning(arna)."
Operations,Operationer
Include Tax to Amount,Inkludera Moms till Belopp
Orders Cron Settings,Beställingarnas Cron Inställningar
Pending Payment Order Lifetime (minutes),I avvaktan på Beställning Livslängd (minuter)
Asynchronous sending,Asynkron sändning
Grid Settings,Rutnät (Grid) Inställningar
Asynchronous indexing,Asynkron indexering
Visible On Storefront,Synlig På Storefront
Please select a customer,Välj en kund
